




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
response to oxygen-containing compound (GO:1901700)	1604	358	234.27	+	1.53	3.39E-13	3.43E-11
positive regulation of signaling (GO:0023056)	1761	386	257.20	+	1.50	3.06E-13	3.14E-11
biological adhesion (GO:0022610)	959	240	140.07	+	1.71	3.07E-13	3.13E-11
movement of cell or subcellular component (GO:0006928)	1596	357	233.10	+	1.53	3.00E-13	3.10E-11
sensory organ morphogenesis (GO:0090596)	261	97	38.12	+	2.54	2.92E-13	3.03E-11
external encapsulating structure organization (GO:0045229)	386	125	56.38	+	2.22	2.88E-13	3.01E-11
positive regulation of cell communication (GO:0010647)	1755	385	256.33	+	1.50	2.85E-13	3.01E-11
skeletal system morphogenesis (GO:0048705)	224	88	32.72	+	2.69	2.57E-13	2.73E-11
extracellular structure organization (GO:0043062)	384	125	56.09	+	2.23	2.47E-13	2.64E-11
extracellular matrix organization (GO:0030198)	383	125	55.94	+	2.23	2.34E-13	2.52E-11
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	405	272.10	+	1.49	2.03E-13	2.22E-11
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	88	32.42	+	2.71	2.03E-13	2.20E-11
regulation of neurogenesis (GO:0050767)	364	121	53.16	+	2.28	1.79E-13	1.96E-11
regulation of cation transmembrane transport (GO:1904062)	378	124	55.21	+	2.25	1.71E-13	1.90E-11
positive regulation of biosynthetic process (GO:0009891)	2004	430	292.69	+	1.47	1.65E-13	1.83E-11
regulation of neuron differentiation (GO:0045664)	193	81	28.19	+	2.87	1.59E-13	1.79E-11
inorganic ion transmembrane transport (GO:0098660)	637	179	93.04	+	1.92	1.35E-13	1.53E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1969	425	287.58	+	1.48	1.09E-13	1.24E-11
regulation of cellular component movement (GO:0051270)	1032	256	150.73	+	1.70	1.04E-13	1.19E-11
axon guidance (GO:0007411)	277	102	40.46	+	2.52	7.78E-14	8.98E-12
negative regulation of response to stimulus (GO:0048585)	1831	402	267.43	+	1.50	6.54E-14	7.60E-12
circulatory system process (GO:0003013)	481	148	70.25	+	2.11	6.11E-14	7.15E-12
macromolecule metabolic process (GO:0043170)	6151	701	898.38	-	.78	4.86E-14	5.74E-12
sensory perception of chemical stimulus (GO:0007606)	543	20	79.31	-	.25	4.49E-14	5.38E-12
neuron projection guidance (GO:0097485)	278	103	40.60	+	2.54	4.50E-14	5.35E-12
heart development (GO:0007507)	535	160	78.14	+	2.05	4.32E-14	5.21E-12
regulation of anatomical structure morphogenesis (GO:0022603)	967	246	141.24	+	1.74	3.68E-14	4.48E-12
signal transduction (GO:0007165)	5227	963	763.43	+	1.26	3.49E-14	4.28E-12
primary metabolic process (GO:0044238)	7352	864	1073.80	-	.80	3.20E-14	3.95E-12
response to endogenous stimulus (GO:0009719)	1426	332	208.27	+	1.59	2.53E-14	3.14E-12
cellular process (GO:0009987)	15495	2450	2263.12	+	1.08	2.43E-14	3.05E-12
epithelium development (GO:0060429)	1113	275	162.56	+	1.69	2.10E-14	2.66E-12
regulation of secretion by cell (GO:1903530)	581	171	84.86	+	2.02	1.91E-14	2.43E-12
system process (GO:0003008)	2057	445	300.43	+	1.48	1.75E-14	2.24E-12
renal system development (GO:0072001)	291	108	42.50	+	2.54	1.43E-14	1.85E-12
nitrogen compound metabolic process (GO:0006807)	6886	797	1005.73	-	.79	1.41E-14	1.84E-12
cellular macromolecule catabolic process (GO:0044265)	925	53	135.10	-	.39	1.23E-14	1.62E-12
ion transmembrane transport (GO:0034220)	870	230	127.07	+	1.81	8.90E-15	1.18E-12
negative regulation of cell differentiation (GO:0045596)	644	185	94.06	+	1.97	7.62E-15	1.02E-12
locomotion (GO:0040011)	1345	320	196.44	+	1.63	7.25E-15	9.79E-13
cell morphogenesis involved in differentiation (GO:0000904)	559	168	81.64	+	2.06	6.65E-15	9.06E-13
regulation of response to stimulus (GO:0048583)	4306	823	628.91	+	1.31	5.08E-15	6.98E-13
ion transport (GO:0006811)	1200	294	175.27	+	1.68	5.03E-15	6.98E-13
urogenital system development (GO:0001655)	324	117	47.32	+	2.47	4.91E-15	6.86E-13
mRNA metabolic process (GO:0016071)	697	31	101.80	-	.30	4.48E-15	6.33E-13
regulation of locomotion (GO:0040012)	997	256	145.62	+	1.76	4.07E-15	5.79E-13
positive regulation of RNA metabolic process (GO:0051254)	1773	399	258.96	+	1.54	3.60E-15	5.18E-13
positive regulation of macromolecule metabolic process (GO:0010604)	3522	697	514.41	+	1.35	3.05E-15	4.42E-13
organic cyclic compound metabolic process (GO:1901360)	3182	306	464.75	-	.66	2.46E-15	3.60E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	632	456.13	+	1.39	2.37E-15	3.51E-13
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	147	66.16	+	2.22	1.86E-15	2.81E-13
cell part morphogenesis (GO:0032990)	526	163	76.82	+	2.12	1.88E-15	2.80E-13
axonogenesis (GO:0007409)	385	132	56.23	+	2.35	1.70E-15	2.58E-13
negative regulation of multicellular organismal process (GO:0051241)	1014	261	148.10	+	1.76	1.67E-15	2.57E-13
regulation of secretion (GO:0051046)	639	187	93.33	+	2.00	1.19E-15	1.84E-13
anterior/posterior pattern specification (GO:0009952)	203	89	29.65	+	3.00	1.13E-15	1.77E-13
positive regulation of cellular metabolic process (GO:0031325)	3314	666	484.03	+	1.38	1.03E-15	1.63E-13
cellular component morphogenesis (GO:0032989)	611	182	89.24	+	2.04	7.39E-16	1.18E-13
regulation of membrane potential (GO:0042391)	437	145	63.83	+	2.27	6.51E-16	1.05E-13
central nervous system neuron differentiation (GO:0021953)	183	85	26.73	+	3.18	4.18E-16	6.89E-14
RNA metabolic process (GO:0016070)	1582	116	231.06	-	.50	4.21E-16	6.86E-14
regulation of transmembrane transport (GO:0034762)	591	179	86.32	+	2.07	4.05E-16	6.74E-14
axon development (GO:0061564)	421	142	61.49	+	2.31	3.89E-16	6.55E-14
cell projection morphogenesis (GO:0048858)	507	162	74.05	+	2.19	2.49E-16	4.24E-14
regulation of nervous system development (GO:0051960)	443	148	64.70	+	2.29	2.11E-16	3.62E-14
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	162	73.47	+	2.21	1.21E-16	2.10E-14
skeletal system development (GO:0001501)	479	157	69.96	+	2.24	1.15E-16	2.01E-14
detection of chemical stimulus (GO:0009593)	522	14	76.24	-	.18	6.32E-17	1.12E-14
neuron projection morphogenesis (GO:0048812)	499	162	72.88	+	2.22	5.97E-17	1.09E-14
positive regulation of metabolic process (GO:0009893)	3820	758	557.93	+	1.36	6.03E-17	1.08E-14
tissue morphogenesis (GO:0048729)	545	172	79.60	+	2.16	5.60E-17	1.03E-14
cellular aromatic compound metabolic process (GO:0006725)	2937	268	428.96	-	.62	5.51E-17	1.02E-14
sensory perception of smell (GO:0007608)	468	10	68.35	-	.15	5.02E-17	9.46E-15
neuron projection development (GO:0031175)	691	204	100.92	+	2.02	3.16E-17	6.02E-15
cell morphogenesis (GO:0000902)	715	209	104.43	+	2.00	2.70E-17	5.20E-15
regulation of ion transmembrane transport (GO:0034765)	502	164	73.32	+	2.24	2.61E-17	5.09E-15
positive regulation of RNA biosynthetic process (GO:1902680)	1629	385	237.92	+	1.62	1.88E-17	3.71E-15
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	385	237.78	+	1.62	1.82E-17	3.69E-15
positive regulation of transcription, DNA-templated (GO:0045893)	1628	385	237.78	+	1.62	1.82E-17	3.64E-15
embryonic organ morphogenesis (GO:0048562)	295	117	43.09	+	2.72	1.45E-17	2.97E-15
forebrain development (GO:0030900)	387	140	56.52	+	2.48	8.16E-18	1.70E-15
gene expression (GO:0010467)	2117	168	309.20	-	.54	6.28E-18	1.32E-15
chemical synaptic transmission (GO:0007268)	414	147	60.47	+	2.43	3.07E-18	6.74E-16
negative regulation of developmental process (GO:0051093)	879	246	128.38	+	1.92	3.11E-18	6.65E-16
anterograde trans-synaptic signaling (GO:0098916)	414	147	60.47	+	2.43	3.07E-18	6.65E-16
regulation of transcription by RNA polymerase II (GO:0006357)	2595	561	379.01	+	1.48	2.14E-18	4.76E-16
synaptic signaling (GO:0099536)	464	161	67.77	+	2.38	6.49E-19	1.46E-16
RNA processing (GO:0006396)	930	43	135.83	-	.32	5.23E-19	1.20E-16
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	315	177.02	+	1.78	4.50E-19	1.05E-16
cellular nitrogen compound metabolic process (GO:0034641)	3395	313	495.86	-	.63	4.08E-19	9.64E-17
tube morphogenesis (GO:0035239)	654	203	95.52	+	2.13	3.50E-19	8.37E-17
regulation of signal transduction (GO:0009966)	3128	657	456.86	+	1.44	3.07E-19	7.47E-17
regulation of system process (GO:0044057)	585	189	85.44	+	2.21	2.71E-19	6.70E-17
regulation of cell population proliferation (GO:0042127)	1654	399	241.57	+	1.65	2.43E-19	6.09E-17
trans-synaptic signaling (GO:0099537)	432	155	63.10	+	2.46	1.61E-19	4.11E-17
nucleobase-containing compound metabolic process (GO:0006139)	2705	228	395.08	-	.58	9.49E-20	2.46E-17
regulation of trans-synaptic signaling (GO:0099177)	432	156	63.10	+	2.47	8.30E-20	2.19E-17
modulation of chemical synaptic transmission (GO:0050804)	431	156	62.95	+	2.48	7.43E-20	1.99E-17
circulatory system development (GO:0072359)	877	253	128.09	+	1.98	3.41E-20	9.30E-18
heterocycle metabolic process (GO:0046483)	2891	247	422.24	-	.58	1.94E-20	5.37E-18
embryonic organ development (GO:0048568)	435	160	63.53	+	2.52	6.20E-21	1.75E-18
cell communication (GO:0007154)	5656	1085	826.09	+	1.31	1.04E-21	2.99E-19
neuron development (GO:0048666)	846	253	123.56	+	2.05	6.35E-22	1.86E-19
positive regulation of cell differentiation (GO:0045597)	840	253	122.69	+	2.06	2.97E-22	8.86E-20
embryonic morphogenesis (GO:0048598)	570	196	83.25	+	2.35	1.28E-22	3.90E-20
sensory organ development (GO:0007423)	555	193	81.06	+	2.38	1.16E-22	3.59E-20
anatomical structure formation involved in morphogenesis (GO:0048646)	883	264	128.97	+	2.05	7.37E-23	2.33E-20
negative regulation of cellular process (GO:0048523)	4902	972	715.96	+	1.36	7.16E-23	2.31E-20
signaling (GO:0023052)	5565	1081	812.80	+	1.33	2.70E-23	8.90E-21
brain development (GO:0007420)	759	240	110.86	+	2.16	2.34E-23	7.88E-21
positive regulation of multicellular organismal process (GO:0051240)	1431	375	209.00	+	1.79	2.26E-23	7.77E-21
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	4	70.98	-	.06	1.23E-23	4.33E-21
behavior (GO:0007610)	557	197	81.35	+	2.42	8.87E-24	3.18E-21
nucleic acid metabolic process (GO:0090304)	2217	158	323.80	-	.49	5.97E-24	2.20E-21
negative regulation of biological process (GO:0048519)	5501	1078	803.45	+	1.34	2.10E-24	7.92E-22
tube development (GO:0035295)	856	265	125.02	+	2.12	1.13E-24	4.36E-22
cell fate commitment (GO:0045165)	238	120	34.76	+	3.45	1.10E-24	4.34E-22
head development (GO:0060322)	803	254	117.28	+	2.17	9.73E-25	3.94E-22
tissue development (GO:0009888)	1729	438	252.53	+	1.73	7.96E-25	3.31E-22
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	64.41	-	.02	5.07E-25	2.17E-22
regulation of ion transport (GO:0043269)	703	234	102.68	+	2.28	2.64E-25	1.16E-22
regionalization (GO:0003002)	317	143	46.30	+	3.09	2.11E-25	9.55E-23
regulation of transport (GO:0051049)	1772	451	258.81	+	1.74	5.53E-26	2.57E-23
regulation of multicellular organismal development (GO:2000026)	1332	367	194.55	+	1.89	4.04E-26	1.94E-23
positive regulation of developmental process (GO:0051094)	1271	356	185.64	+	1.92	2.06E-26	1.02E-23
positive regulation of biological process (GO:0048518)	6331	1224	924.67	+	1.32	6.53E-27	3.33E-24
embryo development (GO:0009790)	991	303	144.74	+	2.09	1.53E-27	8.35E-25
regulation of cell differentiation (GO:0045595)	1586	422	231.64	+	1.82	1.54E-27	8.13E-25
positive regulation of cellular process (GO:0048522)	5741	1135	838.50	+	1.35	1.43E-27	8.05E-25
regulation of biological quality (GO:0065008)	3995	851	583.49	+	1.46	1.23E-27	7.19E-25
cell development (GO:0048468)	1646	437	240.41	+	1.82	2.33E-28	1.42E-25
pattern specification process (GO:0007389)	426	179	62.22	+	2.88	1.38E-28	8.70E-26
regulation of cell communication (GO:0010646)	3509	777	512.51	+	1.52	3.24E-29	2.13E-26
regulation of signaling (GO:0023051)	3545	789	517.76	+	1.52	2.28E-30	1.57E-27
regulation of cellular process (GO:0050794)	11351	1993	1657.87	+	1.20	2.95E-31	2.12E-28
cell-cell signaling (GO:0007267)	1131	346	165.19	+	2.09	1.97E-31	1.48E-28
regulation of biological process (GO:0050789)	11898	2071	1737.76	+	1.19	1.42E-31	1.12E-28
central nervous system development (GO:0007417)	1000	326	146.05	+	2.23	7.38E-34	6.14E-31
regulation of localization (GO:0032879)	2753	668	402.09	+	1.66	2.97E-34	2.61E-31
biological regulation (GO:0065007)	12568	2177	1835.62	+	1.19	2.55E-34	2.37E-31
regulation of developmental process (GO:0050793)	2461	621	359.44	+	1.73	1.05E-35	1.03E-32
neuron differentiation (GO:0030182)	1043	348	152.34	+	2.28	8.03E-38	8.46E-35
regulation of multicellular organismal process (GO:0051239)	2673	677	390.40	+	1.73	6.13E-40	6.92E-37
animal organ morphogenesis (GO:0009887)	956	336	139.63	+	2.41	3.65E-40	4.44E-37
generation of neurons (GO:0048699)	1271	412	185.64	+	2.22	1.34E-42	1.77E-39
neurogenesis (GO:0022008)	1391	438	203.16	+	2.16	9.41E-43	1.35E-39
cellular developmental process (GO:0048869)	3634	895	530.76	+	1.69	7.48E-51	1.18E-47
cell differentiation (GO:0030154)	3575	888	522.15	+	1.70	9.13E-52	1.60E-48
animal organ development (GO:0048513)	3220	829	470.30	+	1.76	3.76E-53	7.42E-50
anatomical structure morphogenesis (GO:0009653)	2158	640	315.19	+	2.03	9.11E-57	2.06E-53
nervous system development (GO:0007399)	2218	676	323.95	+	2.09	3.40E-64	8.95E-61
multicellular organismal process (GO:0032501)	6926	1502	1011.58	+	1.48	1.32E-65	4.17E-62
developmental process (GO:0032502)	5797	1358	846.68	+	1.60	1.79E-75	7.07E-72
system development (GO:0048731)	4330	1116	632.42	+	1.76	1.23E-77	6.48E-74
multicellular organism development (GO:0007275)	4941	1224	721.66	+	1.70	3.29E-78	2.60E-74
anatomical structure development (GO:0048856)	5330	1293	778.47	+	1.66	4.79E-79	7.57E-75
